feature,importance
de,0.049142864905661554
la,0.03935091723675946
les,0.03734678898419229
des,0.03485823547611356
du,0.03174766507507621
en,0.030150488233937685
le,0.029874789658405412
et,0.02975799412716085
universite,0.02775874611168777
pour,0.027592942680859982
burkina,0.025401516107108977
virtuelle,0.024549668621820522
universite virtuelle,0.024258583542949866
faso,0.024080040745005568
burkina faso,0.023731409413496645
du burkina,0.02274138295218048
est,0.02224661687364078
virtuelle du,0.02203544766118798
uvbf,0.021781840903992298
au,0.019944208337578442
cours,0.01920214224636644
connexion,0.018938797226498896
pas,0.018668369391460306
sur,0.018230110602781905
une,0.017960033232668676
etudiants,0.017936177783057512
bf,0.017163113116915058
de la,0.01712493198691297
uv,0.015358682207124875
un,0.01502692617782476
dans,0.014893178512035114
que,0.014637476879930878
uv bf,0.013847853153081895
les cours,0.013259910450905986
nous,0.01318029348443843
avec,0.013146988403308496
qui,0.01312314085933041
formation,0.01284010116526748
plus,0.012511565013187094
par,0.01219451432215211
la connexion,0.012106281534006311
sont,0.012099240725762204
citadel,0.012075508562397586
vous,0.01206780060804409
https,0.012004962896954083
faso uvbf,0.011862284522085155
enseignement,0.011431323559075881
ligne,0.011421332778126169
en ligne,0.011421332778126169
plateforme,0.011301431318728378
qualite,0.01129984378313196
on,0.011270366424977803
tous,0.011267710467632797
de universite,0.01106383839343557
ce,0.01100296472985034
la plateforme,0.010838232488929475
se,0.01083807154679207
de connexion,0.010544361655040302
il,0.010394491574080289
devoirs,0.010192879095679973
probleme,0.009956542917429374
les etudiants,0.008985267099143306
aux,0.008909749734192668
ordinateur,0.008892545141814952
etudiant,0.008769050788146101
je,0.008750592900538194
lors,0.008735207837797453
ly,0.008731436142970363
bit ly,0.008731436142970363
bit,0.008731436142970363
2024,0.008714393485523615
des etudiants,0.00851950178217627
pour le,0.008401111072583409
ne,0.008297638728351497
pour les,0.008217508130366143
ia,0.008145314910174907
evaluations,0.007971954106982357
2022,0.007946739430822003
2023,0.007920283330249517
fait,0.0078299421752592
boxfresh,0.007812276436680201
lors des,0.007776370263872771
co,0.0076958802343547695
cette,0.007624018616727516
ordinateurs,0.007507706246545756
qu,0.007488274664183104
site,0.007487035448123456
https co,0.007436921493240769
ils,0.00737958967521776
de qualite,0.007176858548317705
tout,0.007176123212591279
difficultes,0.007128801786473412
appel,0.007047508006262038
questions,0.006861794844381843
annee,0.006829666848164986
probleme de,0.006821258278637981
voir,0.006818979021589143
ont,0.0068113897856234805
suivre,0.006800307368963812
maniere,0.006786138542850356
merci,0.0066836015584939975
numerique,0.006564339220034992
com,0.006561454650738101
ou,0.006551769265409549
bien,0.006511376107731643
master,0.006450234797416004
resultats,0.0064354280846319915
retard,0.006420149201609269
sur la,0.006400853494352996
pour la,0.006335047816226903
notre,0.006326763076218441
inscription,0.006293855452109806
rien,0.006264465633407082
des cours,0.006249937475266934
nos,0.006244809698634504
universitaire,0.006235037063127205
souvent,0.006221595295417662
la qualite,0.0062066646353861905
une formation,0.006186179768618784
ouagadougou,0.006185894256283621
mon,0.006163749314604512
voir plus,0.0061241610221622195
etudiants de,0.006100419941208928
et les,0.006100362841435084
meme,0.006099013195905074
artificielle,0.006092788098701622
en voir,0.006073432164045554
intelligence,0.005986499560808338
enseignants,0.005971144898495292
intelligence artificielle,0.005939436789603629
tu,0.005933244345935182
pour tous,0.00592917584795505
leur,0.005928637531207457
ouvert,0.005928064811069467
campusfaso,0.00585895606705949
si,0.005849851129141699
ly citadel,0.005837751133286859
la maniere,0.005823741008714159
certains,0.0058122486433182735
des evaluations,0.005791934960972552
qualite pour,0.00574241475134874
comme,0.005726736868838234
oui,0.00570204765972793
autres,0.005672448557852851
lien,0.005652812542481143
beaucoup,0.005600592610994436
la formation,0.005514929608537826
leurs,0.005432923079470199
programme,0.00541833872490216
espace,0.005386495439818238
aussi,0.005383528520878352
dans le,0.005363808450844536
universitaire de,0.005358199342166739
qualite de,0.005308460319439758
des devoirs,0.005294785704490504
distance,0.005267713240486124
faso une,0.005242540585931843
niveau,0.005237742417173402
tres,0.005230427123856221
semaine,0.005187813088573936
candidature,0.0051562683329573165
formation universitaire,0.005133669020508534
les devoirs,0.005079600724684407
boxfresh site,0.005060517609253652
site questions,0.005060517609253652
numerique ouvert,0.005056538919267875
espace numerique,0.005056538919267875
ca,0.005046480052728686
sans,0.004972696189558554
peut,0.004912894658050974
innovation,0.004910687724832971
votre,0.004864121130949789
et de,0.004847734780429166
tous les,0.004832553367863752
de enseignement,0.00482394187178653
dans la,0.004793543845792282
composition,0.004784508168425843
comment,0.004779569137040208
pas de,0.00476905162151804
openburkina,0.004768968759657126
informations,0.004764249061927784
mais,0.004758022292706622
est pas,0.004754253016274927
recrutement,0.004743358627214123
karpala,0.004715512295286382
ai,0.00469302398422005
des ordinateurs,0.0046816709312166365
titinto_,0.004667453593043981
apres,0.004647887944481318
non,0.004606733663606929
deux,0.004591478161259672
ai4dev,0.004591004883929539
octobre,0.0045877034194686545
suivre les,0.004584427899617147
et la,0.00458164244387648
de uv,0.004553119503661768
temps,0.0045237570121622744
puces,0.004508987845503359
ses,0.004502677717849957
de formation,0.004489899708511764
apprecie,0.0044560004508988876
www,0.004452713364740875
faso uv,0.004448327649772923
cela,0.004439612126364466
